dataset,feature,feature_value,prediction,pdp_n
Daily bike rentals,days_since_2011,0,3387.8110858900704,50
Daily bike rentals,days_since_2011,14.89795918367347,3389.6595205546664,50
Daily bike rentals,days_since_2011,29.79591836734694,3401.7019516988703,50
Daily bike rentals,days_since_2011,44.69387755102041,3439.979996527198,50
Daily bike rentals,days_since_2011,59.59183673469388,3465.4137366823634,50
Daily bike rentals,days_since_2011,74.48979591836735,3505.3455542283173,50
Daily bike rentals,days_since_2011,89.38775510204081,3526.5547092083375,50
Daily bike rentals,days_since_2011,104.28571428571429,3663.4176986632447,50
Daily bike rentals,days_since_2011,119.18367346938776,3949.2385688911695,50
Daily bike rentals,days_since_2011,134.08163265306123,3964.468055802576,50
Daily bike rentals,days_since_2011,148.9795918367347,3975.4147183118444,50
Daily bike rentals,days_since_2011,163.87755102040816,3982.6759350795214,50
Daily bike rentals,days_since_2011,178.77551020408163,3989.0769462339226,50
Daily bike rentals,days_since_2011,193.6734693877551,3989.557734025797,50
Daily bike rentals,days_since_2011,208.57142857142858,3985.792063899244,50
Daily bike rentals,days_since_2011,223.46938775510205,4000.4037137919677,50
Daily bike rentals,days_since_2011,238.3673469387755,4004.236140785763,50
Daily bike rentals,days_since_2011,253.26530612244898,4010.692661228555,50
Daily bike rentals,days_since_2011,268.16326530612247,4019.17490988279,50
Daily bike rentals,days_since_2011,283.0612244897959,4034.060779603446,50
Daily bike rentals,days_since_2011,297.9591836734694,3987.7769344338376,50
Daily bike rentals,days_since_2011,312.85714285714283,3942.8463778493547,50
Daily bike rentals,days_since_2011,327.7551020408163,3894.732579818797,50
Daily bike rentals,days_since_2011,342.6530612244898,3900.4031233267337,50
Daily bike rentals,days_since_2011,357.55102040816325,3848.1839321490165,50
Daily bike rentals,days_since_2011,372.44897959183675,3956.14755340034,50
Daily bike rentals,days_since_2011,387.3469387755102,4023.541825802301,50
Daily bike rentals,days_since_2011,402.2448979591837,4217.7463771011535,50
Daily bike rentals,days_since_2011,417.14285714285717,4230.861623228137,50
Daily bike rentals,days_since_2011,432.0408163265306,4557.471646373684,50
Daily bike rentals,days_since_2011,446.9387755102041,4961.455789148677,50
Daily bike rentals,days_since_2011,461.83673469387753,4972.8734339320545,50
Daily bike rentals,days_since_2011,476.734693877551,4979.625403844416,50
Daily bike rentals,days_since_2011,491.6326530612245,4993.553559060686,50
Daily bike rentals,days_since_2011,506.53061224489795,5052.254042916528,50
Daily bike rentals,days_since_2011,521.4285714285714,5081.564725597147,50
Daily bike rentals,days_since_2011,536.3265306122449,5077.066493036047,50
Daily bike rentals,days_since_2011,551.2244897959183,5078.765295453668,50
Daily bike rentals,days_since_2011,566.1224489795918,5105.222477234165,50
Daily bike rentals,days_since_2011,581.0204081632653,5123.122638961939,50
Daily bike rentals,days_since_2011,595.9183673469388,5116.336702447576,50
Daily bike rentals,days_since_2011,610.8163265306123,5131.768687162849,50
Daily bike rentals,days_since_2011,625.7142857142857,5199.781757871341,50
Daily bike rentals,days_since_2011,640.6122448979592,5201.723710826608,50
Daily bike rentals,days_since_2011,655.5102040816327,5203.544977929438,50
Daily bike rentals,days_since_2011,670.4081632653061,5028.078955545544,50
Daily bike rentals,days_since_2011,685.3061224489796,4996.802355132449,50
Daily bike rentals,days_since_2011,700.204081632653,4968.048352208816,50
Daily bike rentals,days_since_2011,715.1020408163265,4938.5662124124165,50
Daily bike rentals,days_since_2011,730,4707.964834959841,50
Daily bike rentals,temp,0.0591304,3314.8025400667957,50
Daily bike rentals,temp,0.07550869795918368,3314.8025400667957,50
Daily bike rentals,temp,0.09188699591836735,3315.0336980667953,50
Daily bike rentals,temp,0.10826529387755102,3315.8466077159183,50
Daily bike rentals,temp,0.1246435918367347,3316.0889390492516,50
Daily bike rentals,temp,0.14102188979591837,3316.591329715918,50
Daily bike rentals,temp,0.15740018775510203,3318.1210169540136,50
Daily bike rentals,temp,0.17377848571428572,3319.8068630492517,50
