dataset,feature_x,feature_y,feature_x_value,feature_y_value,prediction,pdp_n
Daily bike rentals,temp,hum,0.0591304,0,3408.0082845378984,50
Daily bike rentals,temp,hum,0.0591304,0.04052083333333333,3408.0082845378984,50
Daily bike rentals,temp,hum,0.0591304,0.08104166666666666,3408.0082845378984,50
Daily bike rentals,temp,hum,0.0591304,0.12156249999999999,3409.352183871232,50
Daily bike rentals,temp,hum,0.0591304,0.16208333333333333,3413.2650005378987,50
Daily bike rentals,temp,hum,0.0591304,0.20260416666666667,3413.2650005378987,50
Daily bike rentals,temp,hum,0.0591304,0.24312499999999998,3413.5330125378987,50
Daily bike rentals,temp,hum,0.0591304,0.2836458333333333,3412.993355204565,50
Daily bike rentals,temp,hum,0.0591304,0.32416666666666666,3413.9156386331365,50
Daily bike rentals,temp,hum,0.0591304,0.3646875,3416.6341439664698,50
Daily bike rentals,temp,hum,0.0591304,0.40520833333333334,3404.7019166331365,50
Daily bike rentals,temp,hum,0.0591304,0.4457291666666667,3399.9569266000913,50
Daily bike rentals,temp,hum,0.0591304,0.48624999999999996,3416.611682785815,50
Daily bike rentals,temp,hum,0.0591304,0.5267708333333333,3421.9929605757807,50
Daily bike rentals,temp,hum,0.0591304,0.5672916666666666,3418.1847893369472,50
Daily bike rentals,temp,hum,0.0591304,0.6078125,3409.4033192814527,50
Daily bike rentals,temp,hum,0.0591304,0.6483333333333333,3370.9546824960157,50
Daily bike rentals,temp,hum,0.0591304,0.6888541666666667,3300.3732210104067,50
Daily bike rentals,temp,hum,0.0591304,0.729375,3227.6147145491136,50
Daily bike rentals,temp,hum,0.0591304,0.7698958333333333,3134.2544375895627,50
Daily bike rentals,temp,hum,0.0591304,0.8104166666666667,3026.3885379445937,50
Daily bike rentals,temp,hum,0.0591304,0.8509375,2869.5010482648895,50
Daily bike rentals,temp,hum,0.0591304,0.8914583333333334,2824.3815917160473,50
Daily bike rentals,temp,hum,0.0591304,0.9319791666666667,2783.6596555299916,50
Daily bike rentals,temp,hum,0.0591304,0.9725,2768.324097680785,50
