dataset,feature,feature_value,prediction,pdp_n
King County house prices,bedrooms,0,549440.959672822,1500
King County house prices,bedrooms,1,550211.8978000398,1500
King County house prices,bedrooms,2,562410.3490057816,1500
King County house prices,bedrooms,3,541460.436973908,1500
King County house prices,bedrooms,4,547774.2165664982,1500
King County house prices,bedrooms,5,538007.8882991726,1500
King County house prices,bedrooms,6,538408.9056458789,1500
King County house prices,bedrooms,7,535816.4524848748,1500
King County house prices,bathrooms,0,496922.6222205342,1500
King County house prices,bathrooms,0.75,498225.22559554875,1500
King County house prices,bathrooms,1,508729.69522107154,1500
King County house prices,bathrooms,1.5,513317.6983424789,1500
King County house prices,bathrooms,1.75,534449.9781731163,1500
King County house prices,bathrooms,2,528239.8520609138,1500
King County house prices,bathrooms,2.25,529970.880745361,1500
King County house prices,bathrooms,2.5,551594.3234765806,1500
King County house prices,bathrooms,2.75,566023.5077294088,1500
King County house prices,bathrooms,3,569520.7614123068,1500
King County house prices,bathrooms,3.25,667627.1185596595,1500
King County house prices,bathrooms,3.5,679112.7968810825,1500
King County house prices,bathrooms,3.75,716655.7733846927,1500
King County house prices,bathrooms,4,731426.9416692114,1500
King County house prices,bathrooms,4.25,831735.9078744808,1500
King County house prices,bathrooms,4.5,802494.7524658459,1500
King County house prices,bathrooms,4.75,806754.8475547791,1500
King County house prices,bathrooms,5,805576.5408863347,1500
King County house prices,bathrooms,5.5,805718.7524703348,1500
King County house prices,sqft_living,480,360259.30982533837,1500
King County house prices,sqft_living,603.469387755102,358717.6132163634,1500
King County house prices,sqft_living,726.9387755102041,363256.32421714935,1500
King County house prices,sqft_living,850.4081632653061,365736.44129517453,1500
King County house prices,sqft_living,973.8775510204082,372974.01962071925,1500
King County house prices,sqft_living,1097.3469387755104,389635.95129931765,1500
King County house prices,sqft_living,1220.8163265306123,402032.7361268349,1500
King County house prices,sqft_living,1344.2857142857142,405858.2702351327,1500
King County house prices,sqft_living,1467.7551020408164,420532.9778129265,1500
King County house prices,sqft_living,1591.2244897959185,425863.2755041285,1500
King County house prices,sqft_living,1714.6938775510205,439569.12282529066,1500
King County house prices,sqft_living,1838.1632653061224,459649.3993882022,1500
King County house prices,sqft_living,1961.6326530612246,470176.5684276649,1500
King County house prices,sqft_living,2085.1020408163267,513595.19634712813,1500
King County house prices,sqft_living,2208.5714285714284,552602.8638365935,1500
King County house prices,sqft_living,2332.0408163265306,571322.6373060175,1500
King County house prices,sqft_living,2455.5102040816328,606677.9714807502,1500
King County house prices,sqft_living,2578.979591836735,622414.8897866847,1500
King County house prices,sqft_living,2702.448979591837,670153.1600281044,1500
King County house prices,sqft_living,2825.918367346939,715605.6486576456,1500
King County house prices,sqft_living,2949.387755102041,729906.6646655397,1500
King County house prices,sqft_living,3072.857142857143,772859.9153848701,1500
King County house prices,sqft_living,3196.326530612245,764342.240249574,1500
King County house prices,sqft_living,3319.795918367347,804523.3587465587,1500
King County house prices,sqft_living,3443.265306122449,831849.4132429089,1500
King County house prices,sqft_living,3566.7346938775513,905028.7083844555,1500
King County house prices,sqft_living,3690.2040816326535,931762.5164781151,1500
King County house prices,sqft_living,3813.673469387755,957183.0530831493,1500
King County house prices,sqft_living,3937.1428571428573,957636.8477035032,1500
King County house prices,sqft_living,4060.6122448979595,993645.517288477,1500
King County house prices,sqft_living,4184.081632653061,1058714.7949828317,1500
King County house prices,sqft_living,4307.551020408164,1109315.3555464318,1500
King County house prices,sqft_living,4431.0204081632655,1134870.2594719143,1500
King County house prices,sqft_living,4554.489795918367,1148757.974261799,1500
King County house prices,sqft_living,4677.95918367347,1174896.863787066,1500
King County house prices,sqft_living,4801.428571428572,1173853.5999731824,1500
King County house prices,sqft_living,4924.897959183674,1173193.4012740713,1500
King County house prices,sqft_living,5048.367346938776,1180576.5451962089,1500
King County house prices,sqft_living,5171.836734693878,1180275.3742388755,1500
King County house prices,sqft_living,5295.30612244898,1181126.253129431,1500
King County house prices,sqft_living,5418.775510204082,1181668.4803560977,1500
King County house prices,sqft_living,5542.244897959184,1182775.2698227644,1500
King County house prices,sqft_living,5665.714285714286,1183843.0281872088,1500
King County house prices,sqft_living,5789.183673469388,1183899.9085258755,1500
King County house prices,sqft_living,5912.65306122449,1183896.4418592087,1500
King County house prices,sqft_living,6036.122448979592,1183915.0027978756,1500
King County house prices,sqft_living,6159.591836734694,1183915.0027978756,1500
King County house prices,sqft_living,6283.061224489797,1183915.0027978756,1500
King County house prices,sqft_living,6406.530612244898,1183915.0027978756,1500
King County house prices,sqft_living,6530,1183915.0027978756,1500
King County house prices,floors,1,526475.6828390389,1500
King County house prices,floors,1.5,544386.0349954681,1500
King County house prices,floors,2,559849.0277569223,1500
King County house prices,floors,2.5,581629.9244813229,1500
King County house prices,floors,3,595056.6779673619,1500
